user_id,episode,similarity_level,Trust_the_agent,feedback_score,prev_agent,update_agent,prev_agent_mean_score,update_agent_mean_score,prev_agent_last_score,update_agent_last_score,choice,good_choice,good_choice_last,choice_time,examples_shown,feedback_board_index,demo_board_index,good_choice_demo,improved_from_base,improved_from_base_last,improved_from_prev_last,improved_from_prev_mean,final_agent,final_agent_score
61523aaa256db1e1d5a6f734,1,0,1,,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,10.4,10.4,1,1,1,0.0,0.0,19,,0.0,1,1,True,True,OnlyBlueLL_0625,4.7
61523aaa256db1e1d5a6f734,4,0,1,,OnlyBlueLH_0706,OnlyBlueLL_0625,8.84,7.49,8.6,10.2,1,0,1,0.0,0.0,18,,0.0,1,1,True,False,OnlyBlueLL_0625,4.7
61523aaa256db1e1d5a6f734,5,0,1,,OnlyBlueLL_0625,OnlyBlueLL_0625,7.49,8.84,8.6,11.4,1,1,1,0.0,0.0,17,,,1,1,True,True,OnlyBlueLL_0625,4.7
5a5d060ee0cf3d0001269471,1,1,1,2.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,2.9,5.7,1,1,1,24.0,1.0,1,1.0,1.0,1,1,True,True,AllColorsLH_0617,13.2
5a5d060ee0cf3d0001269471,4,1,1,1.0,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,9.8,10.2,1,1,1,22.0,1.0,14,14.0,1.0,1,1,True,True,AllColorsLH_0617,13.2
5a5d060ee0cf3d0001269471,5,1,1,1.0,NoRedLH1_0612,AllColorsLH_0617,10.87,9.39,9.9,11.0,1,0,1,29.0,1.0,11,11.0,1.0,1,1,True,False,AllColorsLH_0617,13.2
55a1d8e2fdf99b1c103f2660,2,0,1,,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,5.6,11.4,1,1,1,0.0,0.0,6,,0.0,1,1,True,True,NoRedLH1_0612,14.2
55a1d8e2fdf99b1c103f2660,4,0,1,,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,7.2,11.2,1,1,1,0.0,0.0,10,,0.0,1,1,True,True,NoRedLH1_0612,14.2
681d11acf32ffbb177100579,1,3,1,2.0,AllColorsLL1_0526,OnlyGreenLL_0429,6.48,1.88,8.2,5.6,1,0,0,38.0,1.0,7,9.0,0.0,-1,-1,False,False,OnlyGreenLL_0429,-5.3
681d11acf32ffbb177100579,2,3,1,1.0,OnlyGreenLL_0429,AllColorsLL1_0526,1.88,6.48,2.4,10.4,1,1,1,25.0,1.0,19,10.0,1.0,0,0,True,True,OnlyGreenLL_0429,-5.3
681d11acf32ffbb177100579,3,3,1,1.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,7.6,10.8,0,0,0,17.0,1.0,8,16.0,0.0,1,1,True,True,OnlyGreenLL_0429,-5.3
681d11acf32ffbb177100579,4,3,1,1.0,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,6.7,9.7,0,0,0,17.0,1.0,12,1.0,0.0,1,1,True,True,OnlyGreenLL_0429,-5.3
681d11acf32ffbb177100579,5,3,1,2.0,AllColorsLL1_0526,OnlyGreenLL_0429,6.48,1.88,8.2,-0.5,1,0,0,14.0,1.0,15,2.0,0.0,-1,-1,False,False,OnlyGreenLL_0429,-5.3
669177c66d14fd83c2a18125,1,2,1,3.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,4.9,7.2,1,1,1,15.0,1.0,10,17.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
669177c66d14fd83c2a18125,3,2,1,1.0,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,10.9,13.4,1,1,1,19.0,1.0,13,9.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
66323da1523d26e305334df8,1,1,0,8.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,4.9,7.2,0,0,0,29.0,1.0,10,10.0,0.0,1,1,True,True,OnlyBlueLL_0625,4.7
66323da1523d26e305334df8,2,1,0,4.0,AllColorsLL1_0526,OnlyBlueLL_0625,6.48,7.49,7.6,2.7,1,1,0,20.0,1.0,16,16.0,0.0,1,-1,False,True,OnlyBlueLL_0625,4.7
5ecd36302b4d3c05d4cc1ba2,2,2,0,6.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,5.6,11.4,1,1,1,16.0,1.0,6,3.0,1.0,1,1,True,True,AllColorsLH_0617,13.2
655b901b23209ae4a194a402,1,3,1,4.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,3.5,6.1,1,1,1,37.0,1.0,9,4.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
655b901b23209ae4a194a402,2,3,1,2.0,AllColorsLH_0617,OnlyBlueLL_0625,9.39,7.49,9.3,9.7,1,0,1,10.0,1.0,12,10.0,1.0,1,1,True,False,NoRedLH1_0612,14.2
655b901b23209ae4a194a402,3,3,1,0.0,OnlyBlueLL_0625,OnlyGreenLL_0429,7.49,1.88,11.6,5.6,1,0,0,8.0,1.0,7,2.0,0.0,-1,-1,False,False,NoRedLH1_0612,14.2
655b901b23209ae4a194a402,4,3,1,2.0,OnlyGreenLL_0429,AllColorsLH_0617,1.88,9.39,2.5,5.7,1,1,1,6.0,1.0,1,14.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
655b901b23209ae4a194a402,5,3,1,2.0,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,7.8,9.3,1,1,1,10.0,1.0,15,6.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
5cbe00898f939c0017c0b9d8,2,2,0,1.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,7.6,7.8,1,1,1,15.0,1.0,16,3.0,1.0,1,1,True,True,OnlyBlueLH_0706,13.4
5cbe00898f939c0017c0b9d8,3,2,0,0.0,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,7.2,11.2,1,1,1,9.0,1.0,10,8.0,1.0,1,1,True,True,OnlyBlueLH_0706,13.4
5cbe00898f939c0017c0b9d8,5,2,0,2.0,NoRedLH1_0612,OnlyBlueLH_0706,10.87,8.84,12.2,8.6,1,0,0,10.0,1.0,18,11.0,0.0,1,1,False,False,OnlyBlueLH_0706,13.4
5c5d36bc034e280001644c3b,1,2,1,0.0,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,7.3,7.7,1,1,1,46.0,1.0,4,17.0,1.0,1,1,True,True,OnlyBlueLH_0706,13.4
62ff3d3ee03b44e79bb2d479,1,2,0,1.0,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,6.7,9.7,1,1,1,30.0,1.0,12,17.0,1.0,1,1,True,True,OnlyBlueLH_0706,13.4
62ff3d3ee03b44e79bb2d479,3,2,0,1.0,OnlyBlueLH_0706,AllColorsLL1_0526,8.84,6.48,12.8,11.9,0,1,1,27.0,1.0,5,3.0,1.0,0,0,False,False,OnlyBlueLH_0706,13.4
62ff3d3ee03b44e79bb2d479,5,2,0,1.0,OnlyBlueLH_0706,OnlyBlueLL_0625,8.84,7.49,7.4,4.7,0,1,1,31.0,1.0,14,5.0,1.0,1,1,False,False,OnlyBlueLH_0706,13.4
5e47a5ae418f6125620ee944,1,2,1,1.0,AllColorsLL1_0526,OnlyGreenLL_0429,6.48,1.88,8.2,-0.5,0,1,1,39.0,1.0,15,6.0,1.0,-1,-1,False,False,AllColorsLH_0617,13.2
5e47a5ae418f6125620ee944,2,2,1,4.0,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,10.9,11.5,1,1,1,20.0,1.0,13,3.0,1.0,1,1,True,True,AllColorsLH_0617,13.2
5e47a5ae418f6125620ee944,3,2,1,1.0,OnlyBlueLH_0706,AllColorsLH_0617,8.84,9.39,7.7,9.3,1,1,1,28.0,1.0,4,14.0,1.0,1,1,True,True,AllColorsLH_0617,13.2
5e47a5ae418f6125620ee944,4,2,1,1.0,AllColorsLH_0617,OnlyBlueLH_0706,9.39,8.84,6.1,9.5,0,1,0,18.0,1.0,9,11.0,1.0,1,1,True,False,AllColorsLH_0617,13.2
5dd59fe0a6438056ac397382,1,1,0,2.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,8.2,11.9,1,1,1,22.0,1.0,7,7.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
5dd59fe0a6438056ac397382,2,1,0,8.0,AllColorsLH_0617,OnlyBlueLH_0706,9.39,8.84,10.9,11.5,1,0,1,7.0,1.0,13,13.0,1.0,1,1,True,False,NoRedLH1_0612,14.2
5dd59fe0a6438056ac397382,3,1,0,1.0,OnlyBlueLH_0706,NoRedLH1_0612,8.84,10.87,7.7,9.5,1,1,1,5.0,1.0,4,4.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
6659ca3aede1cd81f25f5d46,1,0,0,,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,5.6,11.4,1,1,1,0.0,0.0,6,,0.0,1,1,True,True,NoRedLH1_0612,14.2
6659ca3aede1cd81f25f5d46,2,0,0,,OnlyBlueLH_0706,AllColorsLL1_0526,8.84,6.48,12.8,11.9,1,0,0,0.0,0.0,5,,0.0,1,1,False,False,NoRedLH1_0612,14.2
6659ca3aede1cd81f25f5d46,3,0,0,,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,4.3,8.6,1,1,1,0.0,0.0,18,,0.0,1,1,True,True,NoRedLH1_0612,14.2
6659ca3aede1cd81f25f5d46,4,0,0,,OnlyBlueLH_0706,NoRedLH1_0612,8.84,10.87,11.1,14.4,1,1,1,0.0,0.0,3,,0.0,1,1,True,True,NoRedLH1_0612,14.2
59d3ef2c078dbe000195117f,1,1,0,8.0,AllColorsLL1_0526,OnlyGreenLL_0429,6.48,1.88,4.3,5.7,1,0,1,14.0,1.0,18,18.0,1.0,-1,1,True,False,NoRedLH1_0612,14.2
59d3ef2c078dbe000195117f,2,1,0,1.0,OnlyGreenLL_0429,AllColorsLL1_0526,1.88,6.48,2.5,2.9,1,1,1,13.0,1.0,1,1.0,1.0,0,0,True,True,NoRedLH1_0612,14.2
59d3ef2c078dbe000195117f,3,1,0,1.0,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,8.0,6.5,1,1,0,7.0,1.0,11,11.0,0.0,1,-1,False,True,NoRedLH1_0612,14.2
59d3ef2c078dbe000195117f,5,1,0,0.0,OnlyBlueLH_0706,NoRedLH1_0612,8.84,10.87,11.1,14.4,1,1,1,15.0,1.0,3,3.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
5eaecb0824839e59ed3523eb,1,3,0,1.0,AllColorsLL1_0526,OnlyBlueLL_0625,6.48,7.49,3.5,7.5,1,1,1,49.0,1.0,9,13.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
5eaecb0824839e59ed3523eb,2,3,0,3.0,OnlyBlueLL_0625,OnlyBlueLH_0706,7.49,8.84,10.4,10.4,1,1,1,40.0,1.0,19,6.0,1.0,1,0,True,True,NoRedLH1_0612,14.2
5eaecb0824839e59ed3523eb,3,3,0,1.0,OnlyBlueLH_0706,NoRedLH1_0612,8.84,10.87,12.8,14.7,1,1,1,31.0,1.0,8,11.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
63ed50df25d0ea08696b393f,3,2,1,1.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,3.5,6.1,0,0,0,33.0,1.0,9,17.0,0.0,1,1,True,True,AllColorsLH_0617,13.2
63ed50df25d0ea08696b393f,5,2,1,0.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,9.3,8.9,1,1,0,37.0,1.0,2,6.0,1.0,1,-1,False,True,AllColorsLH_0617,13.2
58cd0bc2a47dbb000171dc8b,1,0,0,,AllColorsLL1_0526,OnlyBlueLH_0706,6.48,8.84,4.4,11.1,1,1,1,0.0,0.0,3,,0.0,1,1,True,True,AllColorsLH_0617,13.2
58cd0bc2a47dbb000171dc8b,3,0,0,,OnlyBlueLH_0706,AllColorsLH_0617,8.84,9.39,11.4,11.4,1,1,1,0.0,0.0,6,,0.0,1,1,True,True,AllColorsLH_0617,13.2
604a4755d62e5590404b5426,1,2,0,2.0,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,11.9,15.1,1,1,1,26.0,1.0,5,3.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
604a4755d62e5590404b5426,3,2,0,0.0,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,7.2,11.2,1,1,1,18.0,1.0,10,8.0,1.0,1,1,True,True,NoRedLH1_0612,14.2
66ef36768bc403140fa01e35,1,0,0,,AllColorsLL1_0526,AllColorsLH_0617,6.48,9.39,8.2,11.9,1,1,1,0.0,0.0,7,,0.0,1,1,True,True,NoRedLH1_0612,14.2
66ef36768bc403140fa01e35,2,0,0,,AllColorsLH_0617,NoRedLH1_0612,9.39,10.87,11.0,11.4,1,1,1,0.0,0.0,17,,0.0,1,1,True,True,NoRedLH1_0612,14.2
66ef36768bc403140fa01e35,5,0,0,,NoRedLH1_0612,NoRedLH1_0612,10.87,6.48,9.1,7.6,1,0,0,0.0,0.0,16,,,0,0,False,False,NoRedLH1_0612,14.2
