user_id,similarity_level,Trust_the_agent,start_time,feedback_score1,choice1,good_choice1,choice_time1,update_agent1,feedback_score2,choice2,good_choice2,choice_time2,update_agent2,feedback_score3,choice3,good_choice3,choice_time3,update_agent3,feedback_score4,choice4,good_choice4,choice_time4,update_agent4,feedback_score5,choice5,good_choice5,choice_time5,update_agent5
5ba292385301b80001c71ba2,3.0,2.0,2025-07-28 13:16:11,5.0,1.0,0.0,6.0,1,,,,,0,,,,,0,6.0,1.0,0.0,10.0,1,,,,,0
67bf2c95cf70e4409f3fb705,3.0,,2025-07-28 13:17:40,2.0,1.0,0.0,37.0,1,,,,,0,,,,,0,,,,,0,,,,,0
63ea4d64095b3286433ed52e,1.0,1.0,2025-07-28 13:18:08,1.0,1.0,0.0,58.0,1,,,,,0,3.0,1.0,0.0,25.0,1,3.0,1.0,0.0,22.0,1,,,,,0
5d4838b1334cb0001af8273d,4.0,1.0,2025-07-28 13:19:34,2.0,0.0,0.0,35.0,1,10.0,1.0,0.0,35.0,1,10.0,1.0,0.0,80.0,1,,,,,0,11.0,1.0,0.0,50.0,1
681b781064a5701a5ceee3bc,1.0,1.0,2025-07-28 13:20:57,4.0,1.0,0.0,57.0,1,,,,,0,12.0,1.0,0.0,107.0,1,14.0,1.0,0.0,55.0,1,14.0,0.0,0.0,31.0,1
6788319fd22b8480d7fd03da,2.0,1.0,2025-07-28 13:21:53,1.0,1.0,0.0,28.0,1,,,,,0,1.0,0.0,0.0,85.0,1,2.0,1.0,0.0,9.0,1,2.0,1.0,0.0,26.0,1
62d59b380be0866cf039e0ee,2.0,1.0,2025-07-28 13:21:56,2.0,1.0,0.0,40.0,1,3.0,1.0,0.0,29.0,1,4.0,1.0,0.0,35.0,1,,,,,0,,,,,0
5d2483e69e5cf1001c850dfb,3.0,1.0,2025-07-28 13:25:51,2.0,1.0,0.0,14.0,1,3.0,1.0,0.0,7.0,1,3.0,1.0,0.0,23.0,1,,,,,0,,,,,0
677c4ec6bf1d6e16cf3d3055,1.0,1.0,2025-07-28 13:28:58,,,,,0,3.0,0.0,0.0,26.0,1,,,,,0,5.0,1.0,0.0,40.0,1,9.0,1.0,0.0,51.0,1
67a54503a9d38ce3140394eb,2.0,1.0,2025-07-28 13:31:52,1.0,1.0,0.0,21.0,1,2.0,1.0,0.0,17.0,1,2.0,0.0,0.0,27.0,1,3.0,1.0,0.0,14.0,1,4.0,1.0,0.0,16.0,1
58cd0bc2a47dbb000171dc8b,0.0,2.0,2025-07-28 13:33:31,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
5ec79cbd44972a1fceed2719,4.0,2.0,2025-07-28 13:37:19,3.0,1.0,0.0,46.0,1,5.0,1.0,0.0,20.0,1,5.0,1.0,0.0,21.0,1,6.0,1.0,0.0,22.0,1,7.0,1.0,0.0,17.0,1
5c2b9ce5b337310001996c05,2.0,1.0,2025-07-28 13:47:19,4.0,1.0,0.0,79.0,1,,,,,0,11.0,1.0,0.0,41.0,1,12.0,1.0,0.0,21.0,1,,,,,0
6723b48ee32121e982a935b6,0.0,1.0,2025-07-28 13:48:06,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
6658b2d717b161dc426bd193,4.0,1.0,2025-07-28 13:54:26,4.0,0.0,0.0,10.0,1,7.0,0.0,0.0,20.0,1,,,,,0,,,,,0,,,,,0
5c670a430d80fd00014264f9,3.0,1.0,2025-07-28 14:01:44,2.0,1.0,0.0,64.0,1,3.0,1.0,0.0,13.0,1,4.0,0.0,0.0,33.0,1,,,,,0,5.0,0.0,0.0,12.0,1
